new_name,old_name
SEQ_17,cds_ABQ01355_A/Albany/1/1960_1960//_HA_HA_2
SEQ_0,cds_ARG44468_A/Mexico/INCMNSZ/RFH460/2013_2013/12/_HA_HA_1
SEQ_15,cds_AIU46709_A/Netherlands/M2/1957_1957/07/13_HA_HA_2
SEQ_10,cds_AFJ12393_A/mallard/Berlin/453-4/1980_1980//_HA_HA_2
SEQ_12,cds_ABI85183_A/ruddy_turnstone/Delaware/34/1993_1993/05/15_HA_HA_2
SEQ_13,cds_AFJ13125_A/mallard/Alberta/838/1979_1979/08/14_HA_HA_2
SEQ_2,cds_BAA02768_A/Suita/1/1989_1989//_HA_HA_1
SEQ_7,cds_AGM53850_A/California/07/2009_2009/04/09_HA_HA_1
SEQ_25,cds_ADG44742_A/duck/Shantou/5480/2005_2005//_HA_HA_6
SEQ_24,cds_BAJ18029_A/guinea_fowl/Hong_Kong/NT897/2001_2001//_HA_HA_6
SEQ_21,cds_ABY79032_A/duck/Egypt/9399NAMRU3-CLEVB202/2007_2007//_HA_HA_5
SEQ_8,cds_AAL87868_A/Swine/Minnesota/55551/2000_2000//_HA_HA_1
SEQ_22,cds_AAS07023_A/turkey/England/N28/1973_1973//_HA_HA_5
SEQ_26,cds_AIK26344_A/chicken/Texas/9686-3/2014_2014/03/19_HA_HA_6
SEQ_6,cds_ABU50586_A/Solomon_Islands/3/2006_2006/08/21_HA_HA_1
SEQ_27,cds_ABJ16576_A/mallard/Ohio/64/1989_1989/10/19_HA_HA_6
SEQ_23,cds_ABD35523_A/chicken/Taiwan/G2/87_1987//_HA_HA_6
SEQ_16,cds_AAA43089_A/Berkeley/1/1968_1968//_HA_HA_2
SEQ_3,cds_ABD59847_A/Taiwan/0130/1996_1996//_HA_HA_1
SEQ_18,cds_ALD19472_A/Gallinula_chloropus/Guangdong/GZ174/2014_2014/09/08_HA_HA_5
SEQ_9,cds_ABF21278_A/Wilson-Smith/1933_1933//_HA_HA_1
SEQ_11,cds_ACD56302_A/North_Carolina/1/1963_1963//_HA_HA_2
SEQ_19,cds_AAG01215_A/environment/Hong_Kong/437-8/99__1999//_HA_HA_5
SEQ_1,cds_AEM60091_A/swine/Iowa/3421/1990_1990//_HA_HA_1
SEQ_4,cds_ABV25634_A/swine/Iowa/15/1930_1930//_HA_HA_1
SEQ_20,cds_ACZ36905_A/chicken/Florida/25717/1993_1993//_HA_HA_5
SEQ_14,cds_AIY59261_A/England/12/1962_1962//_HA_HA_2
SEQ_5,cds_AAD17229_A/South_Carolina/1/1918_1918//_HA_HA_1
